# RaceVideoToLog v2.7.2
# video_hash=da1e455f100f50a2, video=test5.mp4, fps=59.767, codec=h264
# roi=843,993,948,1025, format=km/h, frame_start=362, frame_end=7585
# max_speed=400.0, max_accel=40.0, div=1, target_h=48, max_width=72, pad=0, buffer=16
# backend=CPU, model=v6_small, video_backend=decord/GPU
# stats: total=7223, trusted=7111, corrected=41
# timing: ocr=34.3s, decode=14.1s, inference=33.8s, correction=2.5s
362,0.00,257,21
363,1.19,257,21
364,2.39,258,21
365,3.59,258,21
366,4.79,258,21
367,5.99,258,21
368,7.19,259,21
369,8.39,259,21
370,9.60,260,21
371,10.81,260,21
372,12.02,260,21
373,13.23,261,21
374,14.44,261,21
375,15.66,262,21
376,16.87,262,21
377,18.09,262,21
378,19.31,262,21
379,20.53,263,21
380,21.75,263,21
381,22.97,263,21
382,24.20,264,21
383,25.42,264,21
384,26.65,264,21
385,27.88,264,21
386,29.11,265,21
387,30.34,265,21
388,31.57,266,21
389,32.81,266,21
390,34.05,266,21
391,35.28,267,21
392,36.53,267,21
393,37.77,267,21
394,39.01,267,21
395,40.25,268,21
396,41.50,268,21
397,42.74,269,21
398,43.99,269,21
399,45.24,269,21
400,46.50,270,21
401,47.75,270,21
402,49.01,270,21
403,50.26,270,21
404,51.52,271,21
405,52.78,271,21
406,54.04,271,21
407,55.30,272,21
408,56.56,272,21
409,57.83,272,21
410,59.09,272,21
411,60.36,273,21
412,61.63,273,21
413,62.90,274,21
414,64.17,274,21
415,65.45,274,21
416,66.72,275,21
417,68.00,275,21
418,69.28,275,21
419,70.56,276,21
420,71.84,276,21
421,73.12,276,21
422,74.41,276,21
423,75.69,277,21
424,76.98,277,21
425,78.27,277,21
426,79.56,278,21
427,80.85,278,21
428,82.14,278,21
429,83.43,278,21
430,84.73,279,21
431,86.02,279,21
432,87.32,279,21
433,88.62,280,21
434,89.92,280,21
435,91.22,280,21
436,92.52,280,21
437,93.83,281,21
438,95.13,281,21
439,96.44,281,21
440,97.74,281,21
441,99.05,282,21
442,100.36,282,21
443,101.67,282,21
444,102.99,283,21
445,104.30,283,21
446,105.62,283,21
447,106.93,283,21
448,108.25,284,21
449,109.57,284,21
450,110.89,284,21
451,112.21,285,21
452,113.54,285,21
453,114.86,285,21
454,116.19,285,21
455,117.51,286,21
456,118.84,286,21
457,120.17,286,21
458,121.50,286,21
459,122.83,287,21
460,124.17,287,21
461,125.50,287,21
462,126.84,288,21
463,128.17,288,21
464,129.51,288,21
465,130.85,288,21
466,132.19,289,21
467,133.54,289,21
468,134.88,289,21
469,136.22,290,21
470,137.57,290,21
471,138.92,290,21
472,140.27,290,21
473,141.62,290,21
474,142.96,290,21
475,144.31,291,21
476,145.67,291,21
477,147.02,291,21
478,148.37,292,21
479,149.73,292,21
480,151.09,292,21
481,152.44,292,21
482,153.80,293,21
483,155.17,293,21
484,156.53,293,21
485,157.89,293,21
486,159.25,294,21
487,160.62,294,21
488,161.99,294,21
489,163.36,295,21
490,164.73,295,21
491,166.10,295,21
492,167.47,295,21
493,168.84,296,21
494,170.22,296,21
495,171.59,296,21
496,172.97,296,21
497,174.34,296,21
498,175.72,297,21
499,177.10,297,21
500,178.48,297,21
501,179.86,297,21
502,181.25,298,21
503,182.63,298,21
504,184.02,298,21
505,185.40,298,21
506,186.79,298,21
507,188.17,299,21
508,189.56,299,21
509,190.95,299,21
510,192.34,299,21
511,193.73,300,21
512,195.13,300,21
513,196.52,300,21
514,197.92,301,21
515,199.32,301,21
516,200.72,301,21
517,202.12,301,21
518,203.52,301,21
519,204.91,301,21
520,206.32,302,21
521,207.72,302,21
522,209.12,302,21
523,210.53,303,21
524,211.94,303,21
525,213.35,303,21
526,214.75,303,21
527,216.16,303,21
528,217.57,303,21
529,218.98,304,21
530,220.39,304,21
531,221.81,304,21
532,223.22,305,21
533,224.64,305,21
534,226.06,305,21
535,227.47,305,21
536,228.89,305,21
537,230.31,305,21
538,231.73,306,21
539,233.15,306,21
540,234.57,306,21
541,236.00,307,21
542,237.42,307,21
543,238.85,307,21
544,240.28,307,21
545,241.71,308,21
546,243.14,308,21
547,244.57,308,21
548,246.00,308,21
549,247.43,308,21
550,248.87,309,21
551,250.30,309,21
552,251.74,309,21
553,253.18,309,21
554,254.61,309,21
555,256.05,309,21
556,257.49,310,21
557,258.93,310,21
558,260.37,310,21
559,261.81,310,21
560,263.25,310,21
561,264.69,311,21
562,266.14,311,21
563,267.58,311,21
564,269.03,311,21
565,270.48,312,21
566,271.93,312,21
567,273.38,312,21
568,274.83,312,21
569,276.28,312,21
570,277.73,313,21
571,279.18,313,21
572,280.64,313,21
573,282.09,313,21
574,283.55,314,21
575,285.01,314,21
576,286.47,314,21
577,287.93,314,21
578,289.39,314,21
579,290.85,315,21
580,292.31,315,21
581,293.78,315,21
582,295.24,315,21
583,296.70,314,21
584,298.16,314,21
585,299.62,312,21
586,301.06,311,21
587,302.51,311,21
588,303.95,309,21
589,305.39,309,21
590,306.82,307,21
591,308.25,307,21
592,309.67,305,21
593,311.09,305,21
594,312.50,303,21
595,313.90,301,21
596,315.30,301,21
597,316.69,299,21
598,318.08,299,21
599,319.47,297,21
600,320.85,297,21
601,322.23,296,21
602,323.60,296,21
603,324.97,294,21
604,326.34,292,21
605,327.69,292,21
606,329.05,291,21
607,330.40,291,21
608,331.75,289,21
609,333.09,289,21
610,334.43,287,21
611,335.76,287,21
612,337.09,285,21
613,338.41,283,21
614,339.73,283,21
615,341.04,281,21
616,342.35,281,21
617,343.65,279,21
618,344.94,279,21
619,346.24,277,21
620,347.52,277,21
621,348.81,275,21
622,350.08,273,21
623,351.35,273,21
624,352.61,271,21
625,353.87,271,21
626,355.13,270,21
627,356.38,270,21
628,357.63,268,21
629,358.88,268,21
630,360.12,267,21
631,361.36,265,21
632,362.59,265,21
633,363.82,263,21
634,365.04,263,21
635,366.26,261,21
636,367.47,261,21
637,368.68,260,21
638,369.89,260,21
639,371.09,258,21
640,372.29,257,21
641,373.48,257,21
642,374.67,255,21
643,375.86,255,21
644,377.04,253,21
645,378.22,253,21
646,379.39,252,21
647,380.56,252,21
648,381.73,250,21
649,382.88,248,21
650,384.04,248,21
651,385.19,247,21
652,386.34,247,21
653,387.48,245,21
654,388.62,245,21
655,389.75,244,21
656,390.89,244,21
657,392.02,242,21
658,393.14,240,21
659,394.25,240,21
660,395.37,239,21
661,396.48,239,21
662,397.58,238,21
663,398.69,238,21
664,399.79,237,21
665,400.90,237,21
666,401.99,235,21
667,403.08,234,21
668,404.17,234,21
669,405.26,233,21
670,406.34,233,21
671,407.42,231,21
672,408.49,231,21
673,409.56,229,21
674,410.62,229,21
675,411.68,227,21
676,412.74,226,21
677,413.79,226,21
678,414.83,224,21
679,415.87,224,21
680,416.91,222,21
681,417.94,222,21
682,418.97,221,21
683,420.00,221,21
684,421.02,219,21
685,422.04,218,21
686,423.05,218,21
687,424.06,216,21
688,425.06,216,21
689,426.06,215,21
690,427.06,215,21
691,428.06,213,21
692,429.05,213,21
693,430.03,212,21
694,431.02,210,21
695,431.99,210,21
696,432.96,209,21
697,433.94,209,21
698,434.91,208,21
699,435.87,208,21
700,436.84,207,21
701,437.80,207,21
702,438.76,205,21
703,439.70,203,21
704,440.65,203,21
705,441.59,202,21
706,442.53,202,21
707,443.46,200,21
708,444.39,200,21
709,445.32,199,21
710,446.24,199,21
711,447.17,198,21
712,448.08,196,21
713,448.99,196,21
714,449.90,195,21
715,450.81,195,21
716,451.71,194,21
717,452.61,194,21
718,453.51,193,21
719,454.41,193,21
720,455.30,191,21
721,456.19,190,21
722,457.07,190,21
723,457.95,189,21
724,458.83,189,21
725,459.70,188,21
726,460.58,188,21
727,461.45,187,21
728,462.32,187,21
729,463.19,186,21
730,464.05,184,21
731,464.90,184,21
732,465.75,183,21
733,466.60,183,21
734,467.45,182,21
735,468.30,182,21
736,469.14,181,21
737,469.98,181,21
738,470.82,180,21
739,471.66,180,21
740,472.50,180,21
741,473.33,179,21
742,474.16,179,21
743,474.99,178,21
744,475.82,178,21
745,476.64,177,21
746,477.47,177,21
747,478.29,176,21
748,479.10,175,21
749,479.92,175,21
750,480.73,175,21
751,481.54,175,21
752,482.35,174,21
753,483.16,174,21
754,483.97,173,21
755,484.77,173,21
756,485.57,172,21
757,486.37,171,21
758,487.17,171,21
759,487.96,170,21
760,488.75,170,21
761,489.54,169,21
762,490.32,169,21
763,491.10,168,21
764,491.89,168,21
765,492.66,167,21
766,493.44,165,21
767,494.20,165,21
768,494.97,164,21
769,495.73,164,21
770,496.49,163,21
771,497.25,163,21
772,498.00,162,21
773,498.75,162,21
774,499.51,161,21
775,500.25,160,21
776,500.99,160,21
777,501.74,160,21
778,502.48,160,21
779,503.22,159,21
780,503.96,159,21
781,504.70,158,21
782,505.43,158,21
783,506.17,157,21
784,506.89,157,21
785,507.62,157,21
786,508.35,156,21
787,509.08,156,21
788,509.80,155,21
789,510.52,155,21
790,511.24,155,21
791,511.96,155,21
792,512.68,154,21
793,513.39,153,21
794,514.10,153,21
795,514.81,153,21
796,515.53,153,21
797,516.23,152,21
798,516.94,152,21
799,517.64,151,21
800,518.35,151,21
801,519.05,151,21
802,519.75,150,21
803,520.44,150,21
804,521.14,149,21
805,521.83,149,21
806,522.52,148,21
807,523.21,148,21
808,523.90,147,21
809,524.58,147,21
810,525.26,146,21
811,525.94,145,21
812,526.61,145,21
813,527.28,144,21
814,527.95,144,21
815,528.62,143,21
816,529.28,143,21
817,529.94,141,21
818,530.60,141,21
819,531.25,140,21
820,531.90,139,21
821,532.55,139,21
822,533.19,138,21
823,533.83,138,21
824,534.47,137,21
825,535.11,137,21
826,535.74,136,21
827,536.37,136,21
828,537.00,135,21
829,537.63,134,21
830,538.25,134,21
831,538.87,133,21
832,539.49,133,21
833,540.10,132,21
834,540.72,132,21
835,541.33,132,21
836,541.94,132,21
837,542.56,131,21
838,543.16,131,21
839,543.77,131,21
840,544.38,131,21
841,544.99,131,21
842,545.60,130,21
843,546.20,130,21
844,546.81,130,21
845,547.41,130,21
846,548.01,129,21
847,548.61,129,21
848,549.21,129,21
849,549.81,129,21
850,550.41,129,21
851,551.01,128,21
852,551.60,128,21
853,552.20,128,21
854,552.79,128,21
855,553.39,128,21
856,553.98,128,21
857,554.58,128,21
858,555.17,128,21
859,555.77,128,21
860,556.36,128,21
861,556.96,128,21
862,557.55,128,21
863,558.15,128,21
864,558.74,128,21
